中文新闻,#genre#
国际中文(亚洲),https://www.youtube.com/live/7j92Myu2wzg?si=vg14KqagkVucCi3o
国际中文(美洲),https://www.youtube.com/live/f6Kq93wnaZ8?si=5DQPPEo1eraRHGuD
鳳凰资讯,https://test96.178.indevs.in/?id=fN9uYWCjQaw
台視新聞,https://test96.178.indevs.in/?id=xL0ch83RAK8
大愛電視,https://test96.178.indevs.in/?id=oV_i3Hsl_zg
中視新聞HD直播頻道,https://test96.178.indevs.in/?id=TCnaIE_SAtM
華視新聞CH52,https://test96.178.indevs.in/?id=wM0g8EoUZ_E
台視直播,https://test96.178.indevs.in/?id=uDqQo8a7Xmk
大愛電視,https://test96.178.indevs.in/?id=MIqUplvSRWA
鏡新聞,https://test96.178.indevs.in/?id=5n0y6b0Q25o
大愛電視,https://test96.178.indevs.in/?id=OKvWtVoDR8I
公視台語台,https://test96.178.indevs.in/?id=6KlRR_DGhmI
民視新聞網,https://test96.178.indevs.in/?id=ylYJSBUgaMA
國會頻道,https://test96.178.indevs.in/?id=4HysYHJ6GkY
TVBS新聞,https://test96.178.indevs.in/?id=m_dhMSvUCIc
公視新聞網,https://test96.178.indevs.in/?id=quwqlazU-c8
寰宇新聞頻道,https://test96.178.indevs.in/?id=6IquAgfvYmc
公視網路直播頻道,https://test96.178.indevs.in/?id=C6gYqSHLRw4
國會頻道,https://test96.178.indevs.in/?id=Lj8OWF6nzcg
國會頻道,https://test96.178.indevs.in/?id=IvAXtzx5cUI
國會頻道,https://test96.178.indevs.in/?id=Af0TFVbxvAQ
國會頻道,https://test96.178.indevs.in/?id=Qo9QwuCpV3s
國會頻道,https://test96.178.indevs.in/?id=yUx5lB4mhZk
國會頻道,https://test96.178.indevs.in/?id=tDg3bJFYLzI
寰宇新聞頻道,https://test96.178.indevs.in/?id=w87VGpgd90U
東森新聞CH51,https://test96.178.indevs.in/?id=V1p33hqPrUk
三立iNEWS,https://test96.178.indevs.in/?id=pF507BLtbqU
中天電視,https://test96.178.indevs.in/?id=vr3XyVCR4T0
57東森財經新聞,https://test96.178.indevs.in/?id=1I2iq41Akmo
57東森財經新聞,https://test96.178.indevs.in/?id=AEBeWMM1atA
寰宇新聞頻道,https://test96.178.indevs.in/?id=Ej3LQM_lTEw
今日新聞主播Niki倪珍,https://test96.178.indevs.in/?id=Tf3mktyg6bU
投資看非凡,https://test96.178.indevs.in/?id=CXQ-maBSxa4
即刻直播,https://test96.178.indevs.in/?id=f6Kq93wnaZ8
寰宇全視界,https://test96.178.indevs.in/?id=5SH3FDMyMzg
即刻直播,https://test96.178.indevs.in/?id=7j92Myu2wzg
寰宇財經新聞,https://test96.178.indevs.in/?id=7G62ua4RruQ
USTV非凡電視,https://test96.178.indevs.in/?id=eA6Aczd3FZM
非凡商業台,https://test96.178.indevs.in/?id=xLqt2p6Dowo
三立LIVE新聞,https://test96.178.indevs.in/?id=QsGswQvRmtU
TVBS優選頻道-T觀點,https://test96.178.indevs.in/?id=WAUECPu9EOw


Bean&Wild,#genre#
MrBean live,https://www.youtube.com/live/dmSxr1TD8GQ?si=PbMgggpUMhwSm--9
MrBean ALL,https://www.youtube.com/live/lldsi8ItNaI?si=NeeVssmp0vtYFxT1
MrBean Deutschland,https://www.youtube.com/live/CwsGobXOYnM?si=JxOAdqXoSrW9kaDG
Geographic,https://www.youtube.com/live/MiQe9ob9aDc?si=vIdSN85RV4U-vMok
Wild,https://www.youtube.com/live/THooYCltViI?si=RPKxzvwQo6L5glww
Wildlife&nature,https://www.youtube.com/live/daqB3i9WYIY?si=R-ecqEE_0ONOsyxd
Lovenature,https://www.youtube.com/live/1_AE8pTtSOk?si=UjSSq4zrolCKUe6D


少兒频道,#genre#
迪士尼Kids,https://www.youtube.com/watch?v=1mLPTfLwm-M
Tom&Jerry,https://www.youtube.com/live/rEKifG2XUZg?feature=shared
瑪莎與熊 Masha and The Bear CH,https://www.youtube.com/watch?v=E_E80UC2gek
貝樂虎-兒歌童謠-卡通動畫-經典故事,https://www.youtube.com/watch?v=YDtNnMzKuVc
寶貝多米-兒歌童謠-卡通動畫-經典故事,https://www.youtube.com/watch?v=ATiJ3ihQuP8
DuckTales,https://www.youtube.com/live/XD50huu0M24?feature=shared
Thomas,https://www.youtube.com/live/rJU6YjyUbbE?feature=shared
Marvel's Avengers,https://www.youtube.com/live/13GZtHqYrLY?feature=shared
Spider-Man,https://www.youtube.com/live/2PzfL3zrE-o?feature=shared
Woody,https://www.youtube.com/live/jEdJ14wW6Kk?feature=shared
Animal time,https://www.youtube.com/live/dwbgawuNhCU?feature=shared
Hasbro,https://www.youtube.com/watch?v=TZ3mxF4U__k
Emma And Joey - Nursery Rhymes,https://www.youtube.com/watch?v=-VBxijFm50Y
The Amazing World of Gumball,https://www.youtube.com/watch?v=nIyaCRNwxhU
Adventure Time,https://www.youtube.com/watch?v=uZkaJ3e9nfY
Doggyland - Kids Songs \u0026 Nursery Rhymes,https://www.youtube.com/watch?v=fzof1XsTZ-E
Total Drama Official,https://www.youtube.com/watch?v=UBaxq2b6F6M
Boomerang UK,https://www.youtube.com/watch?v=rEKifG2XUZg
We Bare Bears,https://www.youtube.com/watch?v=RXoDbwZmXV8
Marvel HQ,https://www.youtube.com/watch?v=13GZtHqYrLY
Emma And Joey - Nursery Rhymes,https://www.youtube.com/watch?v=DJPyt438WX4
Siesta Dog TV,https://www.youtube.com/watch?v=5YxiqmeI4yo
Cartoonito,https://www.youtube.com/watch?v=XfZetbS9084
Marvel HQ,https://www.youtube.com/watch?v=2PzfL3zrE-o
Boomerang UK,https://www.youtube.com/watch?v=_XeGYNTiuSM
Talking Tom \u0026 Friends TV,https://www.youtube.com/watch?v=oV5gVoZQ7xU
ChuChu TV Nursery Rhymes \u0026 Kids Songs,https://www.youtube.com/watch?v=YY8yc2ctN0g
Miraculous Ladybug,https://www.youtube.com/watch?v=1X5KJbu_o7k
Cartoon Network Africa,https://www.youtube.com/watch?v=lzw57NsNpsM
Bluey - Official Channel,https://www.youtube.com/watch?v=NeH-ENJt2n8



临时频道,#genre#
中視經典綜藝,https://test96.178.indevs.in/?id=ADDSmXoPDY8
民視戲劇館,https://test96.178.indevs.in/?id=6CQZxYpW9q4
民視戲劇館,https://test96.178.indevs.in/?id=rTcTVZBZtYs
民視戲劇館,https://test96.178.indevs.in/?id=032kEdR9Lic
GTV英語戲劇頻道,https://test96.178.indevs.in/?id=6lKL5znyZkc
四季線上4gTV,https://test96.178.indevs.in/?id=GjXBXz5dl6E
民視戲劇館,https://test96.178.indevs.in/?id=vR19P3As6_g
民視戲劇館,https://test96.178.indevs.in/?id=qJMFuMRLee4
愛爾達影劇台,https://test96.178.indevs.in/?id=eHe-Sf016R0
愛爾達影劇台,https://test96.178.indevs.in/?id=p4SszISo3ZE
愛爾達綜合台,https://test96.178.indevs.in/?id=7syefcmbpFE
愛爾達綜合台,https://test96.178.indevs.in/?id=OyTd6lXP32Y
愛爾達綜合台,https://test96.178.indevs.in/?id=Wsz2YuQ422g
愛爾達綜合台,https://test96.178.indevs.in/?id=ESCvRS78MBk
今日新聞主播Niki倪珍,https://test96.178.indevs.in/?id=YBgQRpZqeug
GTV八大劇樂部,https://test96.178.indevs.in/?id=H4X-DA9BMR0
民視戲劇館,https://test96.178.indevs.in/?id=TXKWbIPgD_8
豬哥會社,https://test96.178.indevs.in/?id=v8MUGB4vst8
57怪奇物語,https://test96.178.indevs.in/?id=k0uJVhYX12Y
飢餓遊戲,https://test96.178.indevs.in/?id=UJgN7q6jpns
8世界頻道,https://test96.178.indevs.in/?id=RvSOIM620bA
民視超級冰冰秀,https://test96.178.indevs.in/?id=3bAc9rGxNPg
八無限頻道,https://test96.178.indevs.in/?id=T3LXcjcR3bk
K-POP頻道,https://test96.178.indevs.in/?id=JVocS7Yftw8
四季線上4gTV,https://test96.178.indevs.in/?id=Nfwr1WBXt9I
四季線上4gTV,https://test96.178.indevs.in/?id=DFqBPb7EW5g
愛自然頻道,https://test96.178.indevs.in/?id=daqB3i9WYIY
中視經典戲劇,https://test96.178.indevs.in/?id=yUkO-BXnUjQ
終極系列,https://test96.178.indevs.in/?id=HKDuzWlyGts
台視時光機,https://test96.178.indevs.in/?id=fH2POwXR-xw
綜藝一級棒,https://test96.178.indevs.in/?id=9gx5EIyHmsw
華視綜藝頻道,https://test96.178.indevs.in/?id=OhA_G0s9pqw
國家地理動物頻道,https://test96.178.indevs.in/?id=THooYCltViI
愛自然頻道,https://test96.178.indevs.in/?id=vBnErz43N1A
大陸尋奇,https://test96.178.indevs.in/?id=KgcJZ_Is_h4
11點熱吵店,https://test96.178.indevs.in/?id=HIE1r3ELkbo
東森綜合台,https://test96.178.indevs.in/?id=cimbpAZUjzw
愛自然：捕食者頻道,https://test96.178.indevs.in/?id=1_AE8pTtSOk
三立電視,https://test96.178.indevs.in/?id=FuRbrw9lliI
三立電視,https://test96.178.indevs.in/?id=zZviZGp9NmA
三立電視,https://test96.178.indevs.in/?id=LywmGVSqUxg
三立華劇,https://test96.178.indevs.in/?id=ih93UlH3Q_k
三立華劇,https://test96.178.indevs.in/?id=6CvUw2EAdG0
戲說台灣,https://test96.178.indevs.in/?id=rfSblpvy_rY
GTV八大劇樂部,https://test96.178.indevs.in/?id=Kalt-NQXFMU
中視經典戲劇,https://test96.178.indevs.in/?id=Me6zMjJdzhk
國家地理動物頻道,https://test96.178.indevs.in/?id=MiQe9ob9aDc
華視戲劇頻道,https://test96.178.indevs.in/?id=7PrYe8ykEjY
華視戲劇頻道,https://test96.178.indevs.in/?id=_AKIOe2Sh_g
GC影視,https://test96.178.indevs.in/?id=xnxJYL4hxhk


國外新聞,#genre#
AlJazeera Arabic  قناة الجزيرة,https://www.youtube.com/watch?v=bNyUyrR0PHo
Tv9 Kannada,https://www.youtube.com/watch?v=jdJoOhqCipA
TV9 Telugu Live,https://www.youtube.com/watch?v=II_m28Bm-iM
Todo Noticias,https://www.youtube.com/watch?v=cb12KmMMDJA
24 News,https://www.youtube.com/watch?v=1wECsnGZcfc
ABP NEWS,https://www.youtube.com/watch?v=nyd-xznCpJc
NDTV India,https://www.youtube.com/watch?v=MN8p-Vrn6G0
Al Jazeera English,https://www.youtube.com/watch?v=gCNeDWCI0vo
